id,player,session,level,action,time,timestamp,"replace(state,char(13),' ')"
83148,188405223,7049371E4FA4D334FCBA998F6089181A,Densidad_de_Objetos,0,0,"2020-11-24 16:48:19.419780","Inicio del nivel;Player 1: Paulo; Player2: Tomas"
83149,188405223,7049371E4FA4D334FCBA998F6089181A,Densidad_de_Objetos,3,2,"2020-11-24 16:48:26.777545","Final del nivel"
83150,188405223,7049371E4FA4D334FCBA998F6089181A,Densidad_de_Objetos,3,2,"2020-11-24 16:48:39.758069","Puntaje Total: 12800"
83151,188405223,7049371E4FA4D334FCBA998F6089181A,Union_Interseccion,0,0,"2020-11-24 16:48:39.829489","Inicio del nivel;Player 1: Paulo; Player2: Tomas"
83152,188405223,7049371E4FA4D334FCBA998F6089181A,Union_Interseccion,3,2,"2020-11-24 16:48:53.400276","Final del nivel"
83153,188405223,7049371E4FA4D334FCBA998F6089181A,Union_Interseccion,3,2,"2020-11-24 16:49:17.180855","Puntaje Total: 38320"
83154,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Densidad_de_Objetos,0,0,"2020-11-24 16:49:44.480839","Inicio del nivel;Player 1: Paulo; Player2: Tomas"
83155,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Densidad_de_Objetos,3,5,"2020-11-24 16:49:57.280586","Final del nivel"
83156,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Densidad_de_Objetos,3,5,"2020-11-24 16:50:08.786923","Puntaje Total: 12320"
83157,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,0,0,"2020-11-24 16:50:08.962706","Inicio del nivel;Player 1: Paulo; Player2: Tomas"
83158,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,2,"2020-11-24 16:50:10.914564","Boton0;Set to TRUE; Player 0"
83159,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,1,"2020-11-24 16:50:13.543170","Boton1;Set to TRUE; Player 1"
83160,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,12,"2020-11-24 16:50:24.987904","Boton2;Set to TRUE; Player 0"
83161,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,14,"2020-11-24 16:50:26.434998","Boton3;Set to TRUE; Player 1"
83162,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,19,"2020-11-24 16:50:32.042141","Boton6;Set to TRUE; Player 1"
83163,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,20,"2020-11-24 16:50:32.262247","Boton5;Set to TRUE; Player 0"
83164,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,1,21,"2020-11-24 16:50:33.601565","Boton7;Set to TRUE; Player 1"
83165,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,3,21,"2020-11-24 16:50:33.914384","Final del nivel"
83166,188405223,E0A5C6F1406B1994A9B7FCAFF3F11224,Union_Interseccion,3,21,"2020-11-24 16:50:47.943159","Puntaje Total: 34580"
83167,188405223,A4146DA04A8D9864C4E7918A74F46AB9,Densidad_de_Objetos,0,0,"2020-11-24 16:52:03.970476","Inicio del nivel;Player 1: Paulo; Player2: ABC"
83168,188405223,3F7A5ADD4BA39DC1867DD1B3613EEAC7,Densidad_de_Objetos,0,0,"2020-11-24 17:42:05.586814","Inicio del nivel;Player 1: a; Player2: B"
83169,195160872,A1BF1E364B87601F04918890B5F7F8BB,Densidad_de_Objetos,0,0,"2020-11-24 20:56:04.102259","Inicio del nivel;Player 1: zeus; Player2: drakar"
83170,195160872,A1BF1E364B87601F04918890B5F7F8BB,Densidad_de_Objetos,1,13,"2020-11-24 20:57:13.810561","rocaOro_Sprite; 50; Boton volOro; Player 0"
83171,195160872,A1BF1E364B87601F04918890B5F7F8BB,Densidad_de_Objetos,1,17,"2020-11-24 20:57:25.894909","roca_Sprite; 30; Boton volDiamante; Player 0"
83172,195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,0,0,"2020-11-24 23:00:47.592594","Inicio del nivel;Player 1: david; Player2: nicolas"
83173,195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,1,58,"2020-11-24 23:04:28.502133","rocaAcero_Sprite; 70; Boton volAcero; Player 1"
83174,195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,1,58,"2020-11-24 23:04:28.653171","rocaOro_Sprite; 50; Boton volOro; Player 0"
83175,195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,1,78,"2020-11-24 23:05:26.491947","rocaDiamante_Sprite; 100; Boton volDiamante; Player 1"
83176,195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,3,81,"2020-11-24 23:05:33.046456","Final del nivel"
83177,195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,3,81,"2020-11-24 23:06:05.548496","Puntaje Total: 6060"
83178,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,0,0,"2020-11-24 23:06:05.850037","Inicio del nivel;Player 1: david; Player2: nicolas"
83179,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,43,"2020-11-24 23:08:10.936820","Boton0;Set to TRUE; Player 0"
83180,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,6,"2020-11-24 23:08:30.071002","Boton3;Set to TRUE; Player 1"
83181,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,7,"2020-11-24 23:08:30.534852","Boton2;Set to TRUE; Player 0"
83182,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,14,"2020-11-24 23:08:51.616064","Boton7;Set to TRUE; Player 1"
83183,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,15,"2020-11-24 23:08:53.069718","Boton4;Set to TRUE; Player 0"
83184,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,24,"2020-11-24 23:09:18.654022","Boton6;Set to TRUE; Player 1"
83185,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,3,24,"2020-11-24 23:09:18.667432","Final del nivel"
83186,195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,3,24,"2020-11-24 23:09:58.614252","Puntaje Total: 21560"
83187,19232782-2,3B587FB04C465057CDC0EAB70A9A8232,N3D_2B,0,17.358519,"2020-11-25 00:15:02.114304","Solucion:  // Consola_2"
83188,19232782-2,3B587FB04C465057CDC0EAB70A9A8232,N3D_2B,0,44.02293,"2020-11-25 00:15:28.700261","Solucion:  // Consola_2"
83189,19232782-2,3B587FB04C465057CDC0EAB70A9A8232,N3D_2B,0,44.412899,"2020-11-25 00:15:29.060026","Solucion:  // Consola_2"
83190,19232782-2,3B587FB04C465057CDC0EAB70A9A8232,N3D_2B,0,45.519165,"2020-11-25 00:15:29.893889","Solucion:  // Consola_2"
83191,19232782-2,3B587FB04C465057CDC0EAB70A9A8232,N3D_2B,0,47.198547,"2020-11-25 00:15:31.576966","Solucion:  // Consola_2"
83192,19232782-2,3B587FB04C465057CDC0EAB70A9A8232,N3D_2B,0,157.404251,"2020-11-25 00:17:22.080811","Solucion:  // Consola_2"
